quarantined_at,reason,source,record
2026-07-09T07:17:02+00:00,outside_sanity_range_5000_150000,agmarknet,"{'state': 'Keralam', 'district': 'Wayanad', 'market': 'Mananthavady Market', 'commodity': 'Arecanut(Betelnut/Supari)', 'variety': 'api', 'grade': 'FAQ', 'arrival_date': '17/01/2022', 'min_price': '4900.00', 'max_price': '5000.00', 'modal_price': '4950.00'}"
2026-07-09T07:17:02+00:00,outside_sanity_range_5000_150000,agmarknet,"{'state': 'Keralam', 'district': 'Wayanad', 'market': 'Mananthavady Market', 'commodity': 'Arecanut(Betelnut/Supari)', 'variety': 'api', 'grade': 'FAQ', 'arrival_date': '15/01/2022', 'min_price': '4900.00', 'max_price': '5000.00', 'modal_price': '4950.00'}"
2026-07-09T07:17:02+00:00,outside_sanity_range_5000_150000,agmarknet,"{'state': 'Keralam', 'district': 'Wayanad', 'market': 'Mananthavady Market', 'commodity': 'Arecanut(Betelnut/Supari)', 'variety': 'api', 'grade': 'FAQ', 'arrival_date': '14/01/2022', 'min_price': '4900.00', 'max_price': '5000.00', 'modal_price': '4950.00'}"
2026-07-09T07:17:02+00:00,outside_sanity_range_5000_150000,agmarknet,"{'state': 'Keralam', 'district': 'Wayanad', 'market': 'Mananthavady Market', 'commodity': 'Arecanut(Betelnut/Supari)', 'variety': 'api', 'grade': 'FAQ', 'arrival_date': '13/01/2022', 'min_price': '4900.00', 'max_price': '5000.00', 'modal_price': '4950.00'}"
2026-07-09T07:17:02+00:00,outside_sanity_range_5000_150000,agmarknet,"{'state': 'Keralam', 'district': 'Wayanad', 'market': 'Mananthavady Market', 'commodity': 'Arecanut(Betelnut/Supari)', 'variety': 'api', 'grade': 'FAQ', 'arrival_date': '29/12/2021', 'min_price': '4900.00', 'max_price': '5000.00', 'modal_price': '4950.00'}"
2026-07-09T07:17:02+00:00,outside_sanity_range_5000_150000,agmarknet,"{'state': 'Keralam', 'district': 'Wayanad', 'market': 'Mananthavady Market', 'commodity': 'Arecanut(Betelnut/Supari)', 'variety': 'api', 'grade': 'FAQ', 'arrival_date': '28/12/2021', 'min_price': '4900.00', 'max_price': '5000.00', 'modal_price': '4950.00'}"
2026-07-09T07:17:02+00:00,outside_sanity_range_5000_150000,agmarknet,"{'state': 'Keralam', 'district': 'Wayanad', 'market': 'Mananthavady Market', 'commodity': 'Arecanut(Betelnut/Supari)', 'variety': 'api', 'grade': 'FAQ', 'arrival_date': '24/12/2021', 'min_price': '4900.00', 'max_price': '5000.00', 'modal_price': '4950.00'}"
2026-07-09T07:17:02+00:00,outside_sanity_range_5000_150000,agmarknet,"{'state': 'Keralam', 'district': 'Wayanad', 'market': 'Mananthavady Market', 'commodity': 'Arecanut(Betelnut/Supari)', 'variety': 'api', 'grade': 'FAQ', 'arrival_date': '23/12/2021', 'min_price': '4900.00', 'max_price': '5000.00', 'modal_price': '4950.00'}"
2026-07-09T07:17:02+00:00,outside_sanity_range_5000_150000,agmarknet,"{'state': 'Keralam', 'district': 'Wayanad', 'market': 'Mananthavady Market', 'commodity': 'Arecanut(Betelnut/Supari)', 'variety': 'api', 'grade': 'FAQ', 'arrival_date': '22/12/2021', 'min_price': '4700.00', 'max_price': '4800.00', 'modal_price': '4750.00'}"
2026-07-09T07:17:02+00:00,outside_sanity_range_5000_150000,agmarknet,"{'state': 'Keralam', 'district': 'Wayanad', 'market': 'Mananthavady Market', 'commodity': 'Arecanut(Betelnut/Supari)', 'variety': 'api', 'grade': 'FAQ', 'arrival_date': '21/12/2021', 'min_price': '4700.00', 'max_price': '4800.00', 'modal_price': '4750.00'}"
2026-07-09T07:17:02+00:00,outside_sanity_range_5000_150000,agmarknet,"{'state': 'Keralam', 'district': 'Wayanad', 'market': 'Mananthavady Market', 'commodity': 'Arecanut(Betelnut/Supari)', 'variety': 'api', 'grade': 'FAQ', 'arrival_date': '20/12/2021', 'min_price': '3600.00', 'max_price': '3700.00', 'modal_price': '3650.00'}"
2026-07-09T07:17:02+00:00,outside_sanity_range_5000_150000,agmarknet,"{'state': 'Keralam', 'district': 'Wayanad', 'market': 'Mananthavady Market', 'commodity': 'Arecanut(Betelnut/Supari)', 'variety': 'api', 'grade': 'FAQ', 'arrival_date': '18/12/2021', 'min_price': '4700.00', 'max_price': '4800.00', 'modal_price': '4750.00'}"
2026-07-09T07:17:02+00:00,outside_sanity_range_5000_150000,agmarknet,"{'state': 'Keralam', 'district': 'Wayanad', 'market': 'Mananthavady Market', 'commodity': 'Arecanut(Betelnut/Supari)', 'variety': 'api', 'grade': 'FAQ', 'arrival_date': '17/12/2021', 'min_price': '4700.00', 'max_price': '4800.00', 'modal_price': '4750.00'}"
2026-07-09T07:17:02+00:00,outside_sanity_range_5000_150000,agmarknet,"{'state': 'Keralam', 'district': 'Wayanad', 'market': 'Mananthavady Market', 'commodity': 'Arecanut(Betelnut/Supari)', 'variety': 'api', 'grade': 'FAQ', 'arrival_date': '16/12/2021', 'min_price': '4600.00', 'max_price': '4700.00', 'modal_price': '4650.00'}"
2026-07-09T07:17:02+00:00,outside_sanity_range_5000_150000,agmarknet,"{'state': 'Keralam', 'district': 'Wayanad', 'market': 'Mananthavady Market', 'commodity': 'Arecanut(Betelnut/Supari)', 'variety': 'api', 'grade': 'FAQ', 'arrival_date': '15/12/2021', 'min_price': '4100.00', 'max_price': '4200.00', 'modal_price': '4150.00'}"
2026-07-09T07:17:02+00:00,outside_sanity_range_5000_150000,agmarknet,"{'state': 'Keralam', 'district': 'Wayanad', 'market': 'Mananthavady Market', 'commodity': 'Arecanut(Betelnut/Supari)', 'variety': 'api', 'grade': 'FAQ', 'arrival_date': '14/12/2021', 'min_price': '4100.00', 'max_price': '4200.00', 'modal_price': '4150.00'}"
2026-07-09T07:17:02+00:00,outside_sanity_range_5000_150000,agmarknet,"{'state': 'Keralam', 'district': 'Wayanad', 'market': 'Mananthavady Market', 'commodity': 'Arecanut(Betelnut/Supari)', 'variety': 'api', 'grade': 'FAQ', 'arrival_date': '13/12/2021', 'min_price': '4100.00', 'max_price': '4200.00', 'modal_price': '4150.00'}"
2026-07-09T07:17:02+00:00,outside_sanity_range_5000_150000,agmarknet,"{'state': 'Keralam', 'district': 'Wayanad', 'market': 'Mananthavady Market', 'commodity': 'Arecanut(Betelnut/Supari)', 'variety': 'api', 'grade': 'FAQ', 'arrival_date': '11/12/2021', 'min_price': '4100.00', 'max_price': '4200.00', 'modal_price': '4150.00'}"
2026-07-09T07:17:02+00:00,outside_sanity_range_5000_150000,agmarknet,"{'state': 'Keralam', 'district': 'Wayanad', 'market': 'Mananthavady Market', 'commodity': 'Arecanut(Betelnut/Supari)', 'variety': 'api', 'grade': 'FAQ', 'arrival_date': '10/12/2021', 'min_price': '4100.00', 'max_price': '4200.00', 'modal_price': '4150.00'}"
2026-07-09T07:17:02+00:00,outside_sanity_range_5000_150000,agmarknet,"{'state': 'Keralam', 'district': 'Wayanad', 'market': 'Mananthavady Market', 'commodity': 'Arecanut(Betelnut/Supari)', 'variety': 'api', 'grade': 'FAQ', 'arrival_date': '09/12/2021', 'min_price': '4100.00', 'max_price': '4200.00', 'modal_price': '4150.00'}"
2026-07-09T07:17:02+00:00,outside_sanity_range_5000_150000,agmarknet,"{'state': 'Keralam', 'district': 'Wayanad', 'market': 'Mananthavady Market', 'commodity': 'Arecanut(Betelnut/Supari)', 'variety': 'api', 'grade': 'FAQ', 'arrival_date': '08/12/2021', 'min_price': '4100.00', 'max_price': '4200.00', 'modal_price': '4150.00'}"
2026-07-09T07:17:02+00:00,outside_sanity_range_5000_150000,agmarknet,"{'state': 'Keralam', 'district': 'Wayanad', 'market': 'Mananthavady Market', 'commodity': 'Arecanut(Betelnut/Supari)', 'variety': 'api', 'grade': 'FAQ', 'arrival_date': '07/12/2021', 'min_price': '4100.00', 'max_price': '4200.00', 'modal_price': '4150.00'}"
2026-07-09T07:17:02+00:00,outside_sanity_range_5000_150000,agmarknet,"{'state': 'Keralam', 'district': 'Wayanad', 'market': 'Mananthavady Market', 'commodity': 'Arecanut(Betelnut/Supari)', 'variety': 'api', 'grade': 'FAQ', 'arrival_date': '06/12/2021', 'min_price': '3900.00', 'max_price': '4000.00', 'modal_price': '3950.00'}"
2026-07-09T07:17:02+00:00,outside_sanity_range_5000_150000,agmarknet,"{'state': 'Keralam', 'district': 'Wayanad', 'market': 'Mananthavady Market', 'commodity': 'Arecanut(Betelnut/Supari)', 'variety': 'api', 'grade': 'FAQ', 'arrival_date': '04/12/2021', 'min_price': '3900.00', 'max_price': '4000.00', 'modal_price': '3950.00'}"
2026-07-09T07:17:02+00:00,outside_sanity_range_5000_150000,agmarknet,"{'state': 'Keralam', 'district': 'Wayanad', 'market': 'Mananthavady Market', 'commodity': 'Arecanut(Betelnut/Supari)', 'variety': 'api', 'grade': 'FAQ', 'arrival_date': '03/12/2021', 'min_price': '3900.00', 'max_price': '4000.00', 'modal_price': '3950.00'}"
2026-07-09T07:17:02+00:00,outside_sanity_range_5000_150000,agmarknet,"{'state': 'Keralam', 'district': 'Wayanad', 'market': 'Mananthavady Market', 'commodity': 'Arecanut(Betelnut/Supari)', 'variety': 'api', 'grade': 'FAQ', 'arrival_date': '02/12/2021', 'min_price': '3800.00', 'max_price': '3900.00', 'modal_price': '3850.00'}"
2026-07-09T07:17:02+00:00,outside_sanity_range_5000_150000,agmarknet,"{'state': 'Keralam', 'district': 'Wayanad', 'market': 'Mananthavady Market', 'commodity': 'Arecanut(Betelnut/Supari)', 'variety': 'api', 'grade': 'FAQ', 'arrival_date': '01/12/2021', 'min_price': '4100.00', 'max_price': '4200.00', 'modal_price': '4150.00'}"
2026-07-09T07:17:02+00:00,outside_sanity_range_5000_150000,agmarknet,"{'state': 'Keralam', 'district': 'Wayanad', 'market': 'Mananthavady Market', 'commodity': 'Arecanut(Betelnut/Supari)', 'variety': 'api', 'grade': 'FAQ', 'arrival_date': '30/11/2021', 'min_price': '4100.00', 'max_price': '4200.00', 'modal_price': '4150.00'}"
2026-07-09T07:17:02+00:00,outside_sanity_range_5000_150000,agmarknet,"{'state': 'Keralam', 'district': 'Wayanad', 'market': 'Mananthavady Market', 'commodity': 'Arecanut(Betelnut/Supari)', 'variety': 'api', 'grade': 'FAQ', 'arrival_date': '29/11/2021', 'min_price': '4100.00', 'max_price': '4200.00', 'modal_price': '4150.00'}"
2026-07-09T07:17:02+00:00,outside_sanity_range_5000_150000,agmarknet,"{'state': 'Keralam', 'district': 'Wayanad', 'market': 'Mananthavady Market', 'commodity': 'Arecanut(Betelnut/Supari)', 'variety': 'api', 'grade': 'FAQ', 'arrival_date': '27/11/2021', 'min_price': '4100.00', 'max_price': '4200.00', 'modal_price': '4150.00'}"
2026-07-09T07:17:02+00:00,outside_sanity_range_5000_150000,agmarknet,"{'state': 'Keralam', 'district': 'Wayanad', 'market': 'Mananthavady Market', 'commodity': 'Arecanut(Betelnut/Supari)', 'variety': 'api', 'grade': 'FAQ', 'arrival_date': '26/11/2021', 'min_price': '4100.00', 'max_price': '4200.00', 'modal_price': '4150.00'}"
2026-07-09T07:17:02+00:00,outside_sanity_range_5000_150000,agmarknet,"{'state': 'Keralam', 'district': 'Wayanad', 'market': 'Mananthavady Market', 'commodity': 'Arecanut(Betelnut/Supari)', 'variety': 'api', 'grade': 'FAQ', 'arrival_date': '25/11/2021', 'min_price': '4100.00', 'max_price': '4200.00', 'modal_price': '4150.00'}"
2026-07-09T07:17:02+00:00,outside_sanity_range_5000_150000,agmarknet,"{'state': 'Keralam', 'district': 'Wayanad', 'market': 'Mananthavady Market', 'commodity': 'Arecanut(Betelnut/Supari)', 'variety': 'api', 'grade': 'FAQ', 'arrival_date': '24/11/2021', 'min_price': '4100.00', 'max_price': '4200.00', 'modal_price': '4150.00'}"
2026-07-09T07:17:02+00:00,outside_sanity_range_5000_150000,agmarknet,"{'state': 'Keralam', 'district': 'Wayanad', 'market': 'Mananthavady Market', 'commodity': 'Arecanut(Betelnut/Supari)', 'variety': 'api', 'grade': 'FAQ', 'arrival_date': '23/11/2021', 'min_price': '4100.00', 'max_price': '4200.00', 'modal_price': '4150.00'}"
2026-07-09T07:17:02+00:00,outside_sanity_range_5000_150000,agmarknet,"{'state': 'Keralam', 'district': 'Wayanad', 'market': 'Mananthavady Market', 'commodity': 'Arecanut(Betelnut/Supari)', 'variety': 'api', 'grade': 'FAQ', 'arrival_date': '22/11/2021', 'min_price': '4100.00', 'max_price': '4200.00', 'modal_price': '4150.00'}"
2026-07-09T07:17:02+00:00,outside_sanity_range_5000_150000,agmarknet,"{'state': 'Keralam', 'district': 'Wayanad', 'market': 'Mananthavady Market', 'commodity': 'Arecanut(Betelnut/Supari)', 'variety': 'api', 'grade': 'FAQ', 'arrival_date': '20/11/2021', 'min_price': '4100.00', 'max_price': '4200.00', 'modal_price': '4150.00'}"
2026-07-09T07:17:02+00:00,outside_sanity_range_5000_150000,agmarknet,"{'state': 'Keralam', 'district': 'Wayanad', 'market': 'Mananthavady Market', 'commodity': 'Arecanut(Betelnut/Supari)', 'variety': 'api', 'grade': 'FAQ', 'arrival_date': '19/11/2021', 'min_price': '4100.00', 'max_price': '4200.00', 'modal_price': '4150.00'}"
2026-07-09T07:17:02+00:00,outside_sanity_range_5000_150000,agmarknet,"{'state': 'Keralam', 'district': 'Wayanad', 'market': 'Mananthavady Market', 'commodity': 'Arecanut(Betelnut/Supari)', 'variety': 'api', 'grade': 'FAQ', 'arrival_date': '18/11/2021', 'min_price': '3900.00', 'max_price': '4000.00', 'modal_price': '3950.00'}"
2026-07-09T07:17:02+00:00,outside_sanity_range_5000_150000,agmarknet,"{'state': 'Keralam', 'district': 'Wayanad', 'market': 'Mananthavady Market', 'commodity': 'Arecanut(Betelnut/Supari)', 'variety': 'api', 'grade': 'FAQ', 'arrival_date': '17/11/2021', 'min_price': '4200.00', 'max_price': '4300.00', 'modal_price': '4250.00'}"
2026-07-09T07:17:02+00:00,outside_sanity_range_5000_150000,agmarknet,"{'state': 'Keralam', 'district': 'Wayanad', 'market': 'Mananthavady Market', 'commodity': 'Arecanut(Betelnut/Supari)', 'variety': 'Other', 'grade': 'FAQ', 'arrival_date': '06/12/2022', 'min_price': '4850.00', 'max_price': '4950.00', 'modal_price': '4900.00'}"
2026-07-09T07:17:02+00:00,outside_sanity_range_5000_150000,agmarknet,"{'state': 'Keralam', 'district': 'Wayanad', 'market': 'Mananthavady Market', 'commodity': 'Arecanut(Betelnut/Supari)', 'variety': 'Other', 'grade': 'FAQ', 'arrival_date': '03/12/2022', 'min_price': '4800.00', 'max_price': '5000.00', 'modal_price': '4900.00'}"
2026-07-09T07:17:02+00:00,outside_sanity_range_5000_150000,agmarknet,"{'state': 'Keralam', 'district': 'Wayanad', 'market': 'Mananthavady Market', 'commodity': 'Arecanut(Betelnut/Supari)', 'variety': 'api', 'grade': 'FAQ', 'arrival_date': '02/12/2022', 'min_price': '4500.00', 'max_price': '5000.00', 'modal_price': '4750.00'}"
