quarantined_at,reason,source,record
2026-09-03T13:03:45+00:00,outside_sanity_range_500_30000,ogd,"{'state': 'Karnataka', 'district': 'Uttara Kannada', 'market': 'Kumta APMC', 'commodity': 'Coconut', 'variety': 'Small', 'grade': 'Local', 'arrival_date': '03/09/2026', 'min_price': 24781, 'max_price': 39570, 'modal_price': 36901}"
2026-09-03T17:05:19+00:00,outside_sanity_range_500_30000,ogd,"{'state': 'Karnataka', 'district': 'Uttara Kannada', 'market': 'Kumta APMC', 'commodity': 'Coconut', 'variety': 'Small', 'grade': 'Local', 'arrival_date': '03/09/2026', 'min_price': 24781, 'max_price': 39570, 'modal_price': 36901}"
2026-09-12T16:23:55+00:00,outside_sanity_range_500_30000,ogd,"{'state': 'Karnataka', 'district': 'Uttara Kannada', 'market': 'Kumta APMC', 'commodity': 'Coconut', 'variety': 'Small', 'grade': 'Local', 'arrival_date': '12/09/2026', 'min_price': 33802, 'max_price': 33802, 'modal_price': 33802}"
2026-09-24T13:51:44+00:00,outside_sanity_range_500_30000,ogd,"{'state': 'Karnataka', 'district': 'Uttara Kannada', 'market': 'Kumta APMC', 'commodity': 'Coconut', 'variety': 'Small', 'grade': 'Local', 'arrival_date': '24/09/2026', 'min_price': 24647, 'max_price': 39901, 'modal_price': 36830}"
2026-09-24T17:53:47+00:00,outside_sanity_range_500_30000,ogd,"{'state': 'Karnataka', 'district': 'Uttara Kannada', 'market': 'Kumta APMC', 'commodity': 'Coconut', 'variety': 'Small', 'grade': 'Local', 'arrival_date': '24/09/2026', 'min_price': 24647, 'max_price': 39901, 'modal_price': 36830}"
