date,district,market,commodity_slug,variety,grade,min_price,max_price,modal_price,unit,source,fetched_at
2021-07-10,Ernakulam,Keerampara VFPCK Market,coconut,Big,FAQ,3800,3800,3800,Rs/quintal,agmarknet,2026-07-09T00:00:00+00:00
2021-07-10,Malappuram,Manjeri Market,coconut,Other,FAQ,3300,3400,3350,Rs/quintal,agmarknet,2026-07-09T00:00:00+00:00
2021-07-10,Coimbatore,Pollachi APMC,coconut,Other,FAQ,2400,3100,2850,Rs/quintal,agmarknet,2026-07-09T00:00:00+00:00
2021-07-10,Kannur,Taliparamba Market,coconut,Other,FAQ,3000,3200,3100,Rs/quintal,agmarknet,2026-07-09T00:00:00+00:00
2021-07-11,Ernakulam,Keerampara VFPCK Market,coconut,Big,FAQ,3800,3800,3800,Rs/quintal,agmarknet,2026-07-09T00:00:00+00:00
2021-07-11,Malappuram,Manjeri Market,coconut,Other,FAQ,3300,3400,3350,Rs/quintal,agmarknet,2026-07-09T00:00:00+00:00
2021-07-11,Coimbatore,Pollachi APMC,coconut,Other,FAQ,2400,3100,2850,Rs/quintal,agmarknet,2026-07-09T00:00:00+00:00
2021-07-12,Ernakulam,Keerampara VFPCK Market,coconut,Big,FAQ,3800,3800,3800,Rs/quintal,agmarknet,2026-07-09T00:00:00+00:00
2021-07-12,Ernakulam,Koovapadi VFPCK Market,coconut,Big,FAQ,3825,4000,3850,Rs/quintal,agmarknet,2026-07-09T00:00:00+00:00
2021-07-12,Malappuram,Manjeri Market,coconut,Other,FAQ,3300,3400,3350,Rs/quintal,agmarknet,2026-07-09T00:00:00+00:00
2021-07-12,Kasargod,Neeleswaram Market,coconut,Other,FAQ,3000,3200,3100,Rs/quintal,agmarknet,2026-07-09T00:00:00+00:00
2021-07-12,Coimbatore,Pollachi APMC,coconut,Other,FAQ,2400,3100,2850,Rs/quintal,agmarknet,2026-07-09T00:00:00+00:00
2021-07-12,Kannur,Taliparamba Market,coconut,Other,FAQ,3000,3200,3100,Rs/quintal,agmarknet,2026-07-09T00:00:00+00:00
2021-07-13,Ernakulam,Keerampara VFPCK Market,coconut,Big,FAQ,3800,3800,3800,Rs/quintal,agmarknet,2026-07-09T00:00:00+00:00
2021-07-13,Ernakulam,Koovapadi VFPCK Market,coconut,Big,FAQ,3925,4000,3950,Rs/quintal,agmarknet,2026-07-09T00:00:00+00:00
2021-07-13,Malappuram,Manjeri Market,coconut,Other,FAQ,3300,3400,3350,Rs/quintal,agmarknet,2026-07-09T00:00:00+00:00
2021-07-13,Kasargod,Neeleswaram Market,coconut,Other,FAQ,3000,3300,3200,Rs/quintal,agmarknet,2026-07-09T00:00:00+00:00
2021-07-13,Coimbatore,Pollachi APMC,coconut,Other,FAQ,2400,3100,2850,Rs/quintal,agmarknet,2026-07-09T00:00:00+00:00
2021-07-14,Ernakulam,Keerampara VFPCK Market,coconut,Big,FAQ,3800,3800,3800,Rs/quintal,agmarknet,2026-07-09T00:00:00+00:00
2021-07-14,Ernakulam,Koovapadi VFPCK Market,coconut,Big,FAQ,3850,4000,3950,Rs/quintal,agmarknet,2026-07-09T00:00:00+00:00
2021-07-14,Malappuram,Manjeri Market,coconut,Other,FAQ,3300,3400,3350,Rs/quintal,agmarknet,2026-07-09T00:00:00+00:00
2021-07-14,Kasargod,Neeleswaram Market,coconut,Other,FAQ,3000,3400,3200,Rs/quintal,agmarknet,2026-07-09T00:00:00+00:00
