date,district,market,commodity_slug,variety,grade,min_price,max_price,modal_price,unit,source,fetched_at
2021-07-10,Kasargod,Kanjangadu Market,arecanut,Other,FAQ,36800,37500,37000,Rs/quintal,agmarknet,2026-07-09T00:00:00+00:00
2021-07-10,Kasargod,Manjeswaram Market,arecanut,Other,FAQ,42000,42100,42050,Rs/quintal,agmarknet,2026-07-09T00:00:00+00:00
2021-07-10,Uttara Kannada,Sirsi APMC,arecanut,Bette,FAQ,26669,38508,35448,Rs/quintal,agmarknet,2026-07-09T00:00:00+00:00
2021-07-10,Uttara Kannada,Sirsi APMC,arecanut,Bilegotu,FAQ,25566,34542,32124,Rs/quintal,agmarknet,2026-07-09T00:00:00+00:00
2021-07-10,Uttara Kannada,Sirsi APMC,arecanut,Chali,FAQ,34599,39141,37732,Rs/quintal,agmarknet,2026-07-09T00:00:00+00:00
2021-07-10,Uttara Kannada,Sirsi APMC,arecanut,Rashi,FAQ,37699,41409,40279,Rs/quintal,agmarknet,2026-07-09T00:00:00+00:00
2021-07-10,Kannur,Taliparamba Market,arecanut,Other,FAQ,36000,37000,36500,Rs/quintal,agmarknet,2026-07-09T00:00:00+00:00
2021-07-11,Kasargod,Kanjangadu Market,arecanut,Other,FAQ,37800,38400,38000,Rs/quintal,agmarknet,2026-07-09T00:00:00+00:00
2021-07-11,Kasargod,Manjeswaram Market,arecanut,Other,FAQ,42000,42100,42050,Rs/quintal,agmarknet,2026-07-09T00:00:00+00:00
2021-07-12,Ernakulam,Angamaly Market,arecanut,Other,FAQ,28000,30000,29000,Rs/quintal,agmarknet,2026-07-09T00:00:00+00:00
2021-07-12,Kannur,Irikkur Market,arecanut,Other,FAQ,35500,35500,35500,Rs/quintal,agmarknet,2026-07-09T00:00:00+00:00
2021-07-12,Kasargod,Kanjangadu Market,arecanut,Other,FAQ,37500,38400,38000,Rs/quintal,agmarknet,2026-07-09T00:00:00+00:00
2021-07-12,Kasargod,Kasargod Market,arecanut,Other,FAQ,38000,38500,38200,Rs/quintal,agmarknet,2026-07-09T00:00:00+00:00
2021-07-12,Uttara Kannada,Kumta APMC,arecanut,Chippu,FAQ,30569,33099,32819,Rs/quintal,agmarknet,2026-07-09T00:00:00+00:00
2021-07-12,Uttara Kannada,Kumta APMC,arecanut,Cqca,FAQ,20169,30599,30129,Rs/quintal,agmarknet,2026-07-09T00:00:00+00:00
2021-07-12,Uttara Kannada,Kumta APMC,arecanut,Factory,FAQ,15099,18469,18089,Rs/quintal,agmarknet,2026-07-09T00:00:00+00:00
2021-07-12,Uttara Kannada,Kumta APMC,arecanut,Ripe,FAQ,36899,39099,38749,Rs/quintal,agmarknet,2026-07-09T00:00:00+00:00
2021-07-12,Kasargod,Manjeswaram Market,arecanut,Other,FAQ,43500,43600,43550,Rs/quintal,agmarknet,2026-07-09T00:00:00+00:00
2021-07-12,Kasargod,Neeleswaram Market,arecanut,Other,FAQ,34500,35500,35000,Rs/quintal,agmarknet,2026-07-09T00:00:00+00:00
2021-07-12,Ernakulam,Perumbavoor Market,arecanut,Supari,FAQ,28000,29000,28500,Rs/quintal,agmarknet,2026-07-09T00:00:00+00:00
2021-07-12,Shivamogga,Sagar APMC,arecanut,Bilegotu,FAQ,18009,31490,30399,Rs/quintal,agmarknet,2026-07-09T00:00:00+00:00
2021-07-12,Shivamogga,Sagar APMC,arecanut,Chali,FAQ,32899,36629,35599,Rs/quintal,agmarknet,2026-07-09T00:00:00+00:00
2021-07-12,Shivamogga,Sagar APMC,arecanut,Cqca,FAQ,14899,33499,32899,Rs/quintal,agmarknet,2026-07-09T00:00:00+00:00
2021-07-12,Shivamogga,Sagar APMC,arecanut,Kempugotu,FAQ,27319,35869,33299,Rs/quintal,agmarknet,2026-07-09T00:00:00+00:00
2021-07-12,Shivamogga,Sagar APMC,arecanut,Rashi,FAQ,32509,42489,41699,Rs/quintal,agmarknet,2026-07-09T00:00:00+00:00
2021-07-12,Shivamogga,Sagar APMC,arecanut,Sippegotu,FAQ,11400,20599,19799,Rs/quintal,agmarknet,2026-07-09T00:00:00+00:00
2021-07-12,Shivamogga,Shimoga APMC,arecanut,Bette,FAQ,42559,45209,45000,Rs/quintal,agmarknet,2026-07-09T00:00:00+00:00
2021-07-12,Shivamogga,Shimoga APMC,arecanut,Gorabalu,FAQ,17860,34336,33840,Rs/quintal,agmarknet,2026-07-09T00:00:00+00:00
2021-07-12,Shivamogga,Shimoga APMC,arecanut,Rashi,FAQ,38169,42319,41869,Rs/quintal,agmarknet,2026-07-09T00:00:00+00:00
2021-07-12,Shivamogga,Shimoga APMC,arecanut,Saraku,FAQ,49690,72910,65660,Rs/quintal,agmarknet,2026-07-09T00:00:00+00:00
