date,district,market,commodity_slug,variety,grade,min_price,max_price,modal_price,unit,source,fetched_at
2023-01-01,Kasargod,Kanjangadu Market,arecanut,Other,FAQ,42800,43400,43000,Rs/quintal,agmarknet,2026-07-09T00:00:00+00:00
2023-01-01,Kannur,Kuthuparambu Market,arecanut,Other,FAQ,35000,38500,37500,Rs/quintal,agmarknet,2026-07-09T00:00:00+00:00
2023-01-01,Kasargod,Manjeswaram Market,arecanut,Other,FAQ,47500,47600,47550,Rs/quintal,agmarknet,2026-07-09T00:00:00+00:00
2023-01-02,Ernakulam,Angamaly Market,arecanut,Other,FAQ,35000,37000,36000,Rs/quintal,agmarknet,2026-07-09T00:00:00+00:00
2023-01-02,Kannur,Irikkur Market,arecanut,Other,FAQ,31000,31000,31000,Rs/quintal,agmarknet,2026-07-09T00:00:00+00:00
2023-01-02,Kasargod,Kanjangadu Market,arecanut,Other,FAQ,42800,43500,43000,Rs/quintal,agmarknet,2026-07-09T00:00:00+00:00
2023-01-02,Kasargod,Kasargod Market,arecanut,Other,FAQ,43000,44000,43500,Rs/quintal,agmarknet,2026-07-09T00:00:00+00:00
2023-01-02,Uttara Kannada,Kumta APMC,arecanut,Chippu,FAQ,25809,32109,31459,Rs/quintal,agmarknet,2026-07-09T00:00:00+00:00
2023-01-02,Uttara Kannada,Kumta APMC,arecanut,Cqca,FAQ,18019,28999,27469,Rs/quintal,agmarknet,2026-07-09T00:00:00+00:00
2023-01-02,Uttara Kannada,Kumta APMC,arecanut,Factory,FAQ,11019,19129,18629,Rs/quintal,agmarknet,2026-07-09T00:00:00+00:00
2023-01-02,Uttara Kannada,Kumta APMC,arecanut,Ripe,FAQ,32509,34999,33769,Rs/quintal,agmarknet,2026-07-09T00:00:00+00:00
2023-01-02,Kasargod,Manjeswaram Market,arecanut,Other,FAQ,37500,37600,37550,Rs/quintal,agmarknet,2026-07-09T00:00:00+00:00
2023-01-02,Kannur,Payyannur Market,arecanut,Other,FAQ,36000,38000,37000,Rs/quintal,agmarknet,2026-07-09T00:00:00+00:00
2023-01-02,Ernakulam,Perumbavoor Market,arecanut,Supari,FAQ,34000,35000,34500,Rs/quintal,agmarknet,2026-07-09T00:00:00+00:00
2023-01-02,Shivamogga,Sagar APMC,arecanut,Bilegotu,FAQ,27529,29889,28399,Rs/quintal,agmarknet,2026-07-09T00:00:00+00:00
