date,district,market,commodity_slug,variety,grade,min_price,max_price,modal_price,unit,source,fetched_at
2026-01-01,Ernakulam,Ernakulam,copra,Sundried,DES,19900,19900,19900,Rs/quintal,des,2026-07-09T23:34:28+00:00
2026-01-01,Kasargod,Kanjangadu Market,copra,Copra,FAQ,17500,18000,17700,Rs/quintal,agmarknet,2026-07-09T00:00:00+00:00
2026-01-01,Kannur,Kannur,copra,Sundried,DES,17000,17000,17000,Rs/quintal,des,2026-07-09T23:34:28+00:00
2026-01-01,Kasargod,Kasargod,copra,Smoked,DES,18000,18000,18000,Rs/quintal,des,2026-07-09T23:34:28+00:00
2026-01-01,Kasargod,Kasargod Market,copra,Copra,Local,20000,20200,20100,Rs/quintal,agmarknet,2026-07-09T00:00:00+00:00
2026-01-01,Ernakulam,Kochi,copra,Sundried,DES,18950,18950,18950,Rs/quintal,des,2026-07-09T23:34:28+00:00
2026-01-01,Kozhikode,Kozhikode,copra,Eduthapadi,DES,19500,19500,19500,Rs/quintal,des,2026-07-09T23:34:28+00:00
2026-01-01,Kannur,Kuthuparambu Market,copra,Copra,FAQ,12000,16000,14000,Rs/quintal,agmarknet,2026-07-09T00:00:00+00:00
2026-01-01,Kasargod,Manjeswaram Market,copra,Copra,FAQ,20000,20200,20100,Rs/quintal,agmarknet,2026-07-09T00:00:00+00:00
2026-01-01,Ernakulam,Muvattupuzha,copra,Sundried,DES,19500,19500,19500,Rs/quintal,des,2026-07-09T23:34:28+00:00
2026-01-01,Kasargod,Neeleswaram Market,copra,Other,FAQ,19000,21000,20000,Rs/quintal,agmarknet,2026-07-09T00:00:00+00:00
2026-01-01,Ernakulam,North Paravur,copra,Smoked,DES,19000,19000,19000,Rs/quintal,des,2026-07-09T23:34:28+00:00
2026-01-01,Kannur,Payyannur Market,copra,Other,Local,16700,16900,16800,Rs/quintal,agmarknet,2026-07-09T00:00:00+00:00
2026-01-01,Kannur,Thalassery,copra,Sundried,DES,17300,17300,17300,Rs/quintal,des,2026-07-09T23:34:28+00:00
2026-01-01,Kozhikode,Vadakara,copra,Milling,DES,19000,19000,19000,Rs/quintal,des,2026-07-09T23:34:28+00:00
2026-01-02,Kasargod,Kanjangadu Market,copra,Other,FAQ,17400,18000,17600,Rs/quintal,agmarknet,2026-07-09T00:00:00+00:00
2026-01-02,Kasargod,Kasargod Market,copra,Copra,Local,20000,20200,20100,Rs/quintal,agmarknet,2026-07-09T00:00:00+00:00
2026-01-02,Kannur,Kuthuparambu Market,copra,Copra,FAQ,12000,16000,14000,Rs/quintal,agmarknet,2026-07-09T00:00:00+00:00
2026-01-02,Kasargod,Manjeswaram Market,copra,Copra,FAQ,20000,20200,20100,Rs/quintal,agmarknet,2026-07-09T00:00:00+00:00
2026-01-02,Kannur,Payyannur Market,copra,Other,Local,19600,19800,19700,Rs/quintal,agmarknet,2026-07-09T00:00:00+00:00
2026-01-03,Ernakulam,Ernakulam,copra,Sundried,DES,20000,20000,20000,Rs/quintal,des,2026-07-09T23:34:28+00:00
2026-01-03,Kasargod,Kanjangadu Market,copra,Other,FAQ,17400,17800,17600,Rs/quintal,agmarknet,2026-07-09T00:00:00+00:00
2026-01-03,Kannur,Kannur,copra,Sundried,DES,17000,17000,17000,Rs/quintal,des,2026-07-09T23:34:28+00:00
2026-01-03,Kasargod,Kasargod,copra,Smoked,DES,18000,18000,18000,Rs/quintal,des,2026-07-09T23:34:28+00:00
2026-01-03,Kasargod,Kasargod Market,copra,Copra,Local,20000,20200,20100,Rs/quintal,agmarknet,2026-07-09T00:00:00+00:00
2026-01-03,Ernakulam,Kochi,copra,Sundried,DES,18950,18950,18950,Rs/quintal,des,2026-07-09T23:34:28+00:00
2026-01-03,Ernakulam,Kothamangalam,copra,Sundried,DES,19800,19800,19800,Rs/quintal,des,2026-07-09T23:34:28+00:00
2026-01-03,Kozhikode,Kozhikode,copra,Ball,DES,29000,29000,29000,Rs/quintal,des,2026-07-09T23:34:28+00:00
2026-01-03,Kozhikode,Kozhikode,copra,Eduthapadi,DES,20000,20000,20000,Rs/quintal,des,2026-07-09T23:34:28+00:00
2026-01-03,Kannur,Kuthuparambu Market,copra,Copra,FAQ,12000,17000,14500,Rs/quintal,agmarknet,2026-07-09T00:00:00+00:00
2026-01-03,Kasargod,Manjeswaram Market,copra,Copra,FAQ,20000,20200,20100,Rs/quintal,agmarknet,2026-07-09T00:00:00+00:00
2026-01-03,Kasargod,Neeleswaram Market,copra,Other,FAQ,19000,20000,19500,Rs/quintal,agmarknet,2026-07-09T00:00:00+00:00
2026-01-03,Ernakulam,North Paravur,copra,Smoked,DES,19000,19000,19000,Rs/quintal,des,2026-07-09T23:34:28+00:00
2026-01-03,Kannur,Payyannur Market,copra,Other,Local,19700,19900,19800,Rs/quintal,agmarknet,2026-07-09T00:00:00+00:00
2026-01-03,Kannur,Thalassery,copra,Sundried,DES,17700,17700,17700,Rs/quintal,des,2026-07-09T23:34:28+00:00
2026-01-03,Kozhikode,Vadakara,copra,Ball,DES,28000,28000,28000,Rs/quintal,des,2026-07-09T23:34:28+00:00
2026-01-03,Kozhikode,Vadakara,copra,Milling,DES,19000,19000,19000,Rs/quintal,des,2026-07-09T23:34:28+00:00
2026-01-05,Ernakulam,Ernakulam,copra,Sundried,DES,20000,20000,20000,Rs/quintal,des,2026-07-09T23:34:28+00:00
2026-01-05,Kasargod,Kanjangadu Market,copra,Copra,FAQ,17800,18400,18000,Rs/quintal,agmarknet,2026-07-09T00:00:00+00:00
2026-01-05,Kannur,Kannur,copra,Sundried,DES,17500,17500,17500,Rs/quintal,des,2026-07-09T23:34:28+00:00
2026-01-05,Kasargod,Kasargod,copra,Smoked,DES,18000,18000,18000,Rs/quintal,des,2026-07-09T23:34:28+00:00
2026-01-05,Kasargod,Kasargod Market,copra,Copra,Local,20000,20200,20100,Rs/quintal,agmarknet,2026-07-09T00:00:00+00:00
2026-01-05,Kozhikode,Kozhikode,copra,Ball,DES,29000,29000,29000,Rs/quintal,des,2026-07-09T23:34:28+00:00
2026-01-05,Kozhikode,Kozhikode,copra,Eduthapadi,DES,20200,20200,20200,Rs/quintal,des,2026-07-09T23:34:28+00:00
2026-01-05,Kannur,Kuthuparambu Market,copra,Copra,FAQ,12000,17000,13500,Rs/quintal,agmarknet,2026-07-09T00:00:00+00:00
2026-01-05,Kasargod,Manjeswaram Market,copra,Copra,FAQ,20000,20200,20100,Rs/quintal,agmarknet,2026-07-09T00:00:00+00:00
2026-01-05,Ernakulam,Muvattupuzha,copra,Sundried,DES,19500,19500,19500,Rs/quintal,des,2026-07-09T23:34:28+00:00
2026-01-05,Kasargod,Neeleswaram Market,copra,Other,FAQ,19000,20000,19500,Rs/quintal,agmarknet,2026-07-09T00:00:00+00:00
2026-01-05,Ernakulam,North Paravur,copra,Smoked,DES,19000,19000,19000,Rs/quintal,des,2026-07-09T23:34:28+00:00
2026-01-05,Kannur,Payyannur Market,copra,Other,Local,16700,16900,16800,Rs/quintal,agmarknet,2026-07-09T00:00:00+00:00
2026-01-05,Kannur,Thalassery,copra,Sundried,DES,18000,18000,18000,Rs/quintal,des,2026-07-09T23:34:28+00:00
2026-01-05,Kozhikode,Vadakara,copra,Milling,DES,19000,19000,19000,Rs/quintal,des,2026-07-09T23:34:28+00:00
2026-01-06,Ernakulam,Ernakulam,copra,Sundried,DES,20200,20200,20200,Rs/quintal,des,2026-07-09T23:34:28+00:00
2026-01-06,Kasargod,Kanjangadu Market,copra,Other,FAQ,17800,18400,18000,Rs/quintal,agmarknet,2026-07-09T00:00:00+00:00
2026-01-06,Kannur,Kannur,copra,Sundried,DES,18000,18000,18000,Rs/quintal,des,2026-07-09T23:34:28+00:00
2026-01-06,Kasargod,Kasargod,copra,Smoked,DES,18000,18000,18000,Rs/quintal,des,2026-07-09T23:34:28+00:00
2026-01-06,Kasargod,Kasargod Market,copra,Copra,Local,19000,19200,19100,Rs/quintal,agmarknet,2026-07-09T00:00:00+00:00
2026-01-06,Kozhikode,Kozhikode,copra,Eduthapadi,DES,20500,20500,20500,Rs/quintal,des,2026-07-09T23:34:28+00:00
2026-01-06,Kannur,Kuthuparambu Market,copra,Copra,FAQ,12000,18000,15000,Rs/quintal,agmarknet,2026-07-09T00:00:00+00:00
2026-01-06,Kasargod,Manjeswaram Market,copra,Copra,FAQ,20000,20200,20100,Rs/quintal,agmarknet,2026-07-09T00:00:00+00:00
2026-01-06,Ernakulam,Muvattupuzha,copra,Sundried,DES,19500,19500,19500,Rs/quintal,des,2026-07-09T23:34:28+00:00
2026-01-06,Kasargod,Neeleswaram Market,copra,Other,FAQ,19000,20500,20000,Rs/quintal,agmarknet,2026-07-09T00:00:00+00:00
2026-01-06,Ernakulam,North Paravur,copra,Smoked,DES,19000,19000,19000,Rs/quintal,des,2026-07-09T23:34:28+00:00
2026-01-06,Kannur,Payyannur Market,copra,Other,Local,16700,16900,16800,Rs/quintal,agmarknet,2026-07-09T00:00:00+00:00
2026-01-06,Kannur,Thalassery,copra,Sundried,DES,18200,18200,18200,Rs/quintal,des,2026-07-09T23:34:28+00:00
