date,district,market,commodity_slug,variety,grade,min_price,max_price,modal_price,unit,source,fetched_at
2024-01-01,Ernakulam,Ernakulam,copra,Sundried,DES,9900,9900,9900,Rs/quintal,des,2026-07-09T23:34:28+00:00
2024-01-01,Kasargod,Kanjangadu Market,copra,Other,FAQ,8000,8600,8200,Rs/quintal,agmarknet,2026-07-09T00:00:00+00:00
2024-01-01,Kannur,Kannur,copra,Sundried,DES,8800,8800,8800,Rs/quintal,des,2026-07-09T23:34:28+00:00
2024-01-01,Kasargod,Kasargod,copra,Smoked,DES,8500,8500,8500,Rs/quintal,des,2026-07-09T23:34:28+00:00
2024-01-01,Kasargod,Kasargod Market,copra,Other,FAQ,7800,8000,7900,Rs/quintal,agmarknet,2026-07-09T00:00:00+00:00
2024-01-01,Kozhikode,Kozhikode,copra,Eduthapadi,DES,9800,9800,9800,Rs/quintal,des,2026-07-09T23:34:28+00:00
2024-01-01,Kannur,Kuthuparambu Market,copra,Other,FAQ,6000,9000,7500,Rs/quintal,agmarknet,2026-07-09T00:00:00+00:00
2024-01-01,Kasargod,Manjeswaram Market,copra,Copra,FAQ,8000,8200,8100,Rs/quintal,agmarknet,2026-07-09T00:00:00+00:00
2024-01-01,Ernakulam,Muvattupuzha,copra,Sundried,DES,9500,9500,9500,Rs/quintal,des,2026-07-09T23:34:28+00:00
2024-01-01,Kasargod,Neeleswaram Market,copra,Other,FAQ,8000,8400,8200,Rs/quintal,agmarknet,2026-07-09T00:00:00+00:00
2024-01-01,Ernakulam,North Paravur,copra,Smoked,DES,9200,9200,9200,Rs/quintal,des,2026-07-09T23:34:28+00:00
2024-01-01,Kannur,Payyannur Market,copra,Other,FAQ,9000,9200,9100,Rs/quintal,agmarknet,2026-07-09T00:00:00+00:00
2024-01-01,Kannur,Taliparamba Market,copra,Copra,FAQ,8600,8800,8700,Rs/quintal,agmarknet,2026-07-09T00:00:00+00:00
2024-01-01,Kannur,Thalassery,copra,Sundried,DES,8700,8700,8700,Rs/quintal,des,2026-07-09T23:34:28+00:00
2024-01-01,Kozhikode,Vadakara,copra,Milling,DES,9200,9200,9200,Rs/quintal,des,2026-07-09T23:34:28+00:00
2024-01-02,Kasargod,Kanjangadu Market,copra,Other,FAQ,8200,8800,8400,Rs/quintal,agmarknet,2026-07-09T00:00:00+00:00
2024-01-02,Kasargod,Kasargod Market,copra,Other,FAQ,7800,8000,7900,Rs/quintal,agmarknet,2026-07-09T00:00:00+00:00
2024-01-02,Kannur,Kuthuparambu Market,copra,Other,FAQ,6000,9000,7500,Rs/quintal,agmarknet,2026-07-09T00:00:00+00:00
2024-01-02,Kasargod,Manjeswaram Market,copra,Copra,FAQ,8000,8200,8100,Rs/quintal,agmarknet,2026-07-09T00:00:00+00:00
2024-01-02,Kannur,Payyannur Market,copra,Other,FAQ,8900,9100,9000,Rs/quintal,agmarknet,2026-07-09T00:00:00+00:00
2024-01-03,Ernakulam,Ernakulam,copra,Sundried,DES,9900,9900,9900,Rs/quintal,des,2026-07-09T23:34:28+00:00
2024-01-03,Kasargod,Kanjangadu Market,copra,Other,FAQ,8200,8800,8400,Rs/quintal,agmarknet,2026-07-09T00:00:00+00:00
2024-01-03,Kannur,Kannur,copra,Sundried,DES,8800,8800,8800,Rs/quintal,des,2026-07-09T23:34:28+00:00
2024-01-03,Kasargod,Kasargod,copra,Smoked,DES,8500,8500,8500,Rs/quintal,des,2026-07-09T23:34:28+00:00
2024-01-03,Kasargod,Kasargod Market,copra,Other,FAQ,7800,8000,7900,Rs/quintal,agmarknet,2026-07-09T00:00:00+00:00
